PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0.75,0,5,5,-14,20,False,1,5,1,True,133,133,263841224,3531698935
0.75,0,6,6,-13,20,False,2,5,2,True,192,175,3531698935,515086452
0.75,0,7,7,-12,20,False,3,5,3,True,25,49,515086452,1021539344
0.75,0,10,10,-9,20,False,4,7,4,True,208,157,4225193153,2680931039
0.75,0,13,13,-6,20,False,5,9,5,True,247,34,3333533055,3756345482
0.75,0,19,19,0,20,False,6,14,6,True,221,116,2932232616,959586516
0.75,0,21,21,2,20,False,7,15,7,True,183,142,369227209,159028224
0.75,0,23,23,4,20,False,8,16,8,True,116,79,1188080670,3414165203
0.75,0,27,27,8,20,False,9,19,9,True,62,238,1694089972,1927849080
0.75,0,28,28,9,20,False,10,19,10,True,45,34,1927849080,881403043
0.75,0,29,29,10,20,False,11,19,11,True,233,189,881403043,290148888
0.75,0,31,31,12,20,False,12,20,12,True,212,32,2155938634,3428832667
0.75,0,34,34,15,20,False,13,22,13,True,212,78,1038962027,3472014867
0.75,0,36,36,17,20,False,14,23,14,True,184,5,410824228,516815495
0.75,0,38,38,19,20,False,15,24,15,True,123,45,390411510,215561586
0.75,1,12,52,-7,20,False,1,12,1,True,222,222,3821198068,3333533055
0.75,1,13,53,-6,20,False,2,12,2,True,72,197,3333533055,3756345482
0.75,1,17,57,-2,20,False,3,15,3,True,188,201,2109694035,1323037321
0.75,1,19,59,0,20,False,4,16,4,True,40,138,2932232616,959586516
0.75,1,21,61,2,20,False,5,17,5,True,164,43,369227209,159028224
0.75,1,25,65,6,20,False,6,20,6,True,82,178,1215546913,117655301
0.75,1,31,71,12,20,False,7,25,7,True,142,136,2155938634,3428832667
0.75,1,39,79,20,20,False,8,32,8,True,123,198,215561586,563019712
0.75,2,2,82,-17,20,False,1,2,1,True,38,38,2592004160,1988683261
0.75,2,3,83,-16,20,False,2,2,2,True,157,212,1988683261,2677848701
0.75,2,5,85,-14,20,False,3,3,3,True,77,129,263841224,3531698935
0.75,2,14,94,-5,20,False,4,11,4,True,45,60,3756345482,364380949
0.75,2,18,98,-1,20,False,5,14,5,True,174,181,1323037321,2932232616
0.75,2,21,101,2,20,False,6,16,6,True,127,217,369227209,159028224
0.75,2,25,105,6,20,False,7,19,7,True,212,1,1215546913,117655301
0.75,2,30,110,11,20,False,8,23,8,True,168,228,290148888,2155938634
0.75,2,33,113,14,20,False,9,25,9,True,148,110,12750172,1038962027
0.75,2,36,116,17,20,False,10,27,10,True,214,173,410824228,516815495
0.75,3,7,127,-12,20,False,1,7,1,True,166,166,515086452,1021539344
0.75,3,8,128,-11,20,False,2,7,2,True,226,64,1021539344,1534276539
0.75,3,9,129,-10,20,False,3,7,3,True,30,207,1534276539,4225193153
0.75,3,11,131,-8,20,False,4,8,4,True,13,104,2680931039,3821198068
0.75,3,15,135,-4,20,False,5,11,5,True,120,161,364380949,3283420129
0.75,3,26,146,7,20,False,6,21,6,True,103,180,117655301,1694089972
0.75,3,30,150,11,20,False,7,24,7,True,85,29,290148888,2155938634
0.75,3,31,151,12,20,False,8,24,8,True,154,176,2155938634,3428832667
0.75,4,6,166,-13,20,False,1,6,1,True,16,16,3531698935,515086452
0.75,4,9,169,-10,20,False,2,8,2,True,110,124,1534276539,4225193153
0.75,4,12,172,-7,20,False,3,10,3,True,247,147,3821198068,3333533055
0.75,4,13,173,-6,20,False,4,10,4,True,9,27,3333533055,3756345482
0.75,4,16,176,-3,20,False,5,12,5,True,202,109,3283420129,2109694035
0.75,4,18,178,-1,20,False,6,13,6,True,148,17,1323037321,2932232616
0.75,4,21,181,2,20,False,7,15,7,True,253,158,369227209,159028224
0.75,4,22,182,3,20,False,8,15,8,True,64,182,159028224,1188080670
0.75,4,26,186,7,20,False,9,18,9,True,93,113,117655301,1694089972
0.75,4,31,191,12,20,False,10,22,10,True,134,141,2155938634,3428832667
0.75,4,32,192,13,20,False,11,22,11,True,0,4,3428832667,12750172
0.75,4,35,195,16,20,False,12,24,12,True,242,243,3472014867,410824228
0.75,4,37,197,18,20,False,13,25,13,True,152,141,516815495,390411510
0.75,4,38,198,19,20,False,14,25,14,True,230,123,390411510,215561586
0.75,5,1,201,-18,20,False,1,1,1,True,127,127,2525019014,2592004160
0.75,5,2,202,-17,20,False,2,1,2,True,166,234,2592004160,1988683261
0.75,5,8,208,-11,20,False,3,6,3,True,127,109,1021539344,1534276539
0.75,5,10,210,-9,20,False,4,7,4,True,48,233,4225193153,2680931039
0.75,5,19,219,0,20,False,5,15,5,True,120,102,2932232616,959586516
0.75,5,20,220,1,20,False,6,15,6,True,198,178,959586516,369227209
0.75,5,23,223,4,20,False,7,17,7,True,221,119,1188080670,3414165203
0.75,5,24,224,5,20,False,8,17,8,True,219,90,3414165203,1215546913
0.75,5,26,226,7,20,False,9,18,9,True,89,125,117655301,1694089972
