Timestamp,Rssi,Snr,SequenceNumber,SpreadingFactor,TxPower,Bandwidth
132963208030061129,-86,9,1568,7,14,2
132963208030119367,-92,6,1569,7,14,2
132963208030401996,-87,8,1573,7,14,2
132963208030427856,-100,4,1574,7,14,2
132963208030453923,-96,6,1575,7,14,2
132963208030601078,-97,4,1576,7,14,2
132963208030666792,-92,7,1577,7,14,2
132963208030897979,-91,7,1579,7,14,2
132963208030960522,-96,5,1580,7,14,2
132963208031057092,-89,6,1581,7,14,2
132963208031123985,-86,8,1582,7,14,2
132963208031226161,-81,8,1583,7,14,2
132963208031288058,-78,8,1584,7,14,2
132963208031395369,-76,8,1585,7,14,2
132963208031458895,-75,9,1586,7,14,2
132963208031558500,-76,8,1587,7,14,2
132963208031621159,-75,8,1588,7,14,2
132963208031715560,-78,8,1589,7,14,2
132963208031778839,-98,5,1793,7,14,2
132963208031879751,-97,5,1794,7,14,2
132963208031938321,-98,5,1795,7,14,2
132963208032063753,-100,4,1796,7,14,2
132963208032465241,-100,3,1797,7,14,2
132963208033192661,-101,2,1798,7,14,2
132963208034688348,-100,3,1800,7,14,2
132963208035427970,-99,4,1801,7,14,2
132963208036180355,-98,3,1802,7,14,2
132963208037207332,-98,3,1803,7,14,2
132963208038043613,-100,4,1804,7,14,2
132963208039144985,-100,1,1806,7,14,2
132963208040259241,-100,1,1807,7,14,2
132963208041118045,-98,3,1808,7,14,2
132963208041598181,-97,4,1809,7,14,2
132963208042377494,-99,4,1810,7,14,2
132963208042850563,-101,0,1811,7,14,2
132963208044122530,-100,3,1812,7,14,2
132963208044910376,-98,4,1813,7,14,2
132963208045377014,-97,4,1814,7,14,2
132963208045877599,-96,5,1815,7,14,2
132963208046571833,-95,6,1816,7,14,2
132963208047706349,-94,6,1817,7,14,2
132963208048258392,-93,6,1818,7,14,2
132963208049185631,-94,6,1819,7,14,2
132963208049645213,-92,6,1820,7,14,2
132963208050369035,-91,7,1821,7,14,2
132963208051022800,-89,7,1822,7,14,2
132963208051736986,-89,7,1823,7,14,2
132963208052881267,-89,7,1824,7,14,2
132963208053698347,-90,7,1825,7,14,2
132963208054135067,-90,8,1826,7,14,2
132963208055169168,-89,7,1827,7,14,2
132963208055665275,-89,7,1828,7,14,2
132963208056347133,-89,8,1829,7,14,2
132963208057052057,-89,7,1830,7,14,2
132963208057827779,-89,8,1831,7,14,2
132963208058553745,-89,8,1832,7,14,2
132963208059406213,-90,8,1833,7,14,2
132963208060166891,-89,7,1834,7,14,2
132963208060822483,-89,7,1835,7,14,2
132963208061508639,-90,8,1836,7,14,2
132963208062413045,-90,8,1837,7,14,2
132963208063111168,-89,8,1838,7,14,2
132963208063638668,-89,8,1839,7,14,2
132963208064484553,-88,9,1840,7,14,2
132963208065448815,-88,9,1841,7,14,2
132963208066194756,-89,9,1842,7,14,2
132963208067037095,-88,9,1843,7,14,2
132963208067800394,-88,9,1844,7,14,2
132963208068543357,-88,9,1845,7,14,2
132963208069238640,-88,9,1846,7,14,2
132963208069951327,-88,9,1847,7,14,2
132963208070312395,-86,8,1848,7,14,2
132963208071577613,-88,8,1849,7,14,2
132963208072134478,-87,8,1850,7,14,2
132963208072717277,-87,8,1851,7,14,2
132963208073726043,-88,8,1852,7,14,2
132963208074371706,-88,8,1853,7,14,2
132963208075231510,-88,9,1854,7,14,2
132963208075866188,-88,9,1855,7,14,2
132963208076656677,-88,8,1856,7,14,2
132963208077179770,-88,8,1857,7,14,2
132963208077731438,-89,8,1858,7,14,2
132963208078908429,-89,8,1859,7,14,2
132963208079712382,-88,9,1860,7,14,2
132963208080448817,-89,8,1861,7,14,2
132963208080863487,-90,7,1862,7,14,2
132963208081909200,-89,7,1863,7,14,2
132963208082684173,-90,7,1864,7,14,2
132963208083269553,-90,7,1865,7,14,2
132963208084076555,-91,7,1866,7,14,2
132963208084909330,-91,7,1867,7,14,2
132963208085672126,-91,7,1868,7,14,2
132963208086338108,-92,7,1869,7,14,2
132963208086965497,-91,8,1870,7,14,2
132963208087748102,-89,8,1871,7,14,2
132963208088512453,-88,8,1872,7,14,2
132963208089267135,-91,7,1873,7,14,2
132963208090080673,-96,3,1874,7,14,2
132963208090666489,-89,8,1875,7,14,2
132963208091506407,-86,8,1876,7,14,2
132963208092275235,-87,8,1877,7,14,2
132963208092893035,-91,8,1878,7,14,2
132963208093750999,-95,7,1879,7,14,2
132963208094376648,-99,4,1880,7,14,2
132963208095004052,-93,7,1881,7,14,2
132963208095633007,-93,7,1882,7,14,2
132963208096737805,-90,8,1883,7,14,2
132963208097383162,-90,7,1884,7,14,2
132963208097940408,-89,8,1885,7,14,2
132963208098947431,-88,7,1886,7,14,2
132963208099747398,-88,8,1887,7,14,2
132963208100441296,-91,7,1888,7,14,2
132963208101187842,-97,6,1889,7,14,2
132963208101601997,-86,8,1890,7,14,2
132963208102387241,-80,9,1891,7,14,2
132963208103431281,-80,9,1892,7,14,2
132963208104180985,-79,9,1893,7,14,2
132963208104807116,-80,9,1894,7,14,2
132963208105424250,-85,9,1895,7,14,2
132963208106278651,-90,7,1896,7,14,2
132963208106779112,-88,9,1897,7,14,2
132963208107428872,-90,7,1898,7,14,2
132963208108230648,-84,8,1899,7,14,2
132963208109298796,-82,8,1900,7,14,2
