Timestamp,Rssi,Snr,SequenceNumber,SpreadingFactor,TxPower,Bandwidth
132963208941326232,-85,8,2757,7,14,2
132963208941383263,-90,8,2758,7,14,2
132963208941493757,-92,7,2760,7,14,2
132963208941515284,-89,8,2761,7,14,2
132963208941591698,-87,8,2762,7,14,2
132963208941643911,-89,9,2763,7,14,2
132963208941664316,-93,7,2764,7,14,2
132963208941769540,-97,5,2765,7,14,2
132963208941820251,-93,6,2766,7,14,2
132963208941891683,-89,7,2767,7,14,2
132963208941944374,-88,8,2768,7,14,2
132963208941990942,-89,8,2769,7,14,2
132963208942074216,-94,6,2770,7,14,2
132963208942127625,-98,3,2771,7,14,2
132963208942199766,-100,3,2772,7,14,2
132963208942407815,-86,8,3022,7,14,2
132963208942451570,-86,8,3023,7,14,2
132963208943445528,-86,8,3024,7,14,2
132963208944279868,-87,8,3025,7,14,2
132963208945106697,-87,8,3026,7,14,2
132963208947244194,-87,8,3027,7,14,2
132963208947326740,-88,8,3028,7,14,2
132963208947438232,-87,8,3029,7,14,2
132963208947669445,-88,7,3030,7,14,2
132963208948778085,-87,8,3031,7,14,2
132963208949569785,-86,8,3032,7,14,2
132963208949880786,-86,8,3033,7,14,2
132963208950969131,-87,9,3034,7,14,2
132963208951496923,-87,8,3035,7,14,2
132963208952268718,-87,8,3036,7,14,2
132963208953178726,-87,8,3037,7,14,2
132963208953827564,-86,8,3038,7,14,2
132963208954504458,-86,8,3039,7,14,2
132963208955019733,-86,8,3040,7,14,2
132963208955729296,-88,8,3041,7,14,2
132963208956734708,-87,8,3042,7,14,2
132963208957243846,-87,8,3043,7,14,2
132963208958425321,-88,8,3044,7,14,2
132963208958919514,-88,8,3045,7,14,2
132963208959418294,-88,8,3046,7,14,2
132963208960154414,-89,8,3047,7,14,2
132963208961435110,-89,8,3048,7,14,2
132963208961860181,-88,8,3049,7,14,2
132963208962367626,-88,8,3050,7,14,2
132963208963142678,-87,8,3051,7,14,2
132963208964248827,-88,8,3052,7,14,2
132963208964870866,-88,9,3053,7,14,2
132963208965380257,-87,7,3054,7,14,2
132963208966317639,-87,8,3055,7,14,2
132963208967089871,-87,8,3056,7,14,2
132963208968065746,-87,8,3057,7,14,2
132963208968712183,-87,8,3058,7,14,2
132963208969463494,-88,8,3059,7,14,2
132963208969951201,-88,8,3060,7,14,2
132963208970563035,-88,8,3061,7,14,2
132963208971319517,-89,9,3062,7,14,2
132963208972053081,-89,8,3063,7,14,2
132963208972786811,-89,9,3064,7,14,2
132963208973766456,-89,9,3065,7,14,2
132963208974735165,-88,8,3066,7,14,2
132963208975693951,-88,7,3067,7,14,2
132963208975872580,-88,7,3068,7,14,2
132963208976492716,-88,9,3069,7,14,2
132963208977252046,-89,8,3070,7,14,2
132963208978211492,-88,8,3071,7,14,2
132963208979111640,-89,8,3072,7,14,2
132963208979573969,-89,8,3073,7,14,2
132963208980237022,-89,8,3074,7,14,2
132963208981043334,-89,8,3075,7,14,2
132963208981683937,-90,8,3076,7,14,2
132963208982458268,-89,8,3077,7,14,2
132963208983172370,-88,9,3078,7,14,2
132963208983931400,-89,8,3079,7,14,2
132963208985024768,-90,7,3080,7,14,2
132963208985554746,-91,7,3081,7,14,2
132963208986530325,-91,8,3082,7,14,2
132963208987365326,-91,8,3083,7,14,2
132963208987996495,-91,8,3084,7,14,2
132963208988780930,-90,8,3085,7,14,2
132963208989580720,-89,8,3086,7,14,2
